Date/time,Humidity percent
2021-09-25 11:56:51.350703,49.41
2021-09-25 11:57:50.992074,49.66
2021-09-25 11:58:50.641026,49.29
2021-09-25 11:59:50.294297,49.25
2021-09-25 12:00:49.939769,49.59
2021-09-25 12:01:49.592963,49.73
2021-09-25 12:02:49.242395,49.62
2021-09-25 12:03:48.891853,48.93
2021-09-25 12:04:48.541962,49.42
2021-09-25 12:05:48.192393,49.16
2021-09-25 12:06:47.842718,49.42
2021-09-25 12:07:47.492183,49.52
2021-09-25 12:08:47.139613,49.43
2021-09-25 12:09:46.794196,49.31
2021-09-25 12:10:46.442418,49.79
2021-09-25 12:11:46.092585,49.16
2021-09-25 12:12:45.742301,49.6
2021-09-25 12:13:45.394136,49.54
2021-09-25 12:14:45.032955,49.44
2021-09-25 12:15:44.671151,49.37
2021-09-25 12:16:44.314667,49.47
2021-09-25 12:17:43.961398,49.37
2021-09-25 12:18:43.610830,49.99
2021-09-25 12:19:43.262968,49.59
2021-09-25 12:20:42.912929,49.67
2021-09-25 12:21:42.560252,49.52
2021-09-25 12:22:42.211772,49.42
2021-09-25 12:23:41.861766,49.71
2021-09-25 12:24:41.511554,49.55
2021-09-25 12:25:41.161067,49.65
2021-09-25 12:26:40.812745,49.55
2021-09-25 12:27:40.462650,49.81
2021-09-25 12:28:40.111973,49.57
2021-09-25 12:29:39.763138,49.44
2021-09-25 12:30:39.412928,49.81
2021-09-25 12:31:39.063706,49.79
2021-09-25 12:32:38.711961,49.7
2021-09-25 12:33:38.361038,49.91
2021-09-25 12:34:38.011754,49.5
2021-09-25 12:35:37.663588,48.74
2021-09-25 12:36:37.311500,49.66
2021-09-25 12:37:36.963712,49.56
2021-09-25 12:38:36.614571,49.49
2021-09-25 12:39:36.262373,49.68
2021-09-25 12:40:35.911820,49.11
2021-09-25 12:41:35.563820,49.85
2021-09-25 12:42:35.209573,49.8
2021-09-25 12:43:34.861597,49.62
2021-09-25 12:44:34.510655,49.74
2021-09-25 12:45:34.157400,49.51
2021-09-25 12:46:33.803508,49.49
2021-09-25 12:47:33.443677,49.07
2021-09-25 12:48:33.084096,49.16
2021-09-25 12:49:32.730203,48.97
2021-09-25 12:50:32.379101,49.2
2021-09-25 12:51:32.027342,49.11
2021-09-25 12:52:31.677632,48.76
2021-09-25 12:53:31.328673,48.75
2021-09-25 12:54:30.978164,48.71
2021-09-25 12:55:30.629179,49.03
2021-09-25 12:56:30.279191,49.45
2021-09-25 12:57:29.928965,48.41
2021-09-25 12:58:29.577775,48.99
2021-09-25 12:59:29.229516,49.37
2021-09-25 13:00:28.877603,49.43
2021-09-25 13:01:28.531162,49.24
2021-09-25 13:02:28.185129,49.64
2021-09-25 13:03:27.831508,49.24
2021-09-25 13:04:27.477707,50.21
2021-09-25 13:05:27.129486,50.34
2021-09-25 13:06:26.777390,49.89
2021-09-25 13:07:26.429594,49.88
2021-09-25 13:08:26.079593,50.23
2021-09-25 13:09:25.729099,49.95
2021-09-25 13:10:25.379095,50.31
2021-09-25 13:11:25.030151,50.13
2021-09-25 13:12:24.681726,50.27
2021-09-25 13:13:24.327433,50.24
2021-09-25 13:14:23.970214,50.19
2021-09-25 13:15:23.611576,50.66
2021-09-25 13:16:23.252880,51.71
2021-09-25 13:17:22.898360,51.45
2021-09-25 13:18:22.546783,51.85
2021-09-25 13:19:22.185789,51.39
2021-09-25 13:20:21.824978,50.79
2021-09-25 13:21:21.462553,50.97
2021-09-25 13:22:21.108314,50.57
2021-09-25 13:23:20.762155,51.08
2021-09-25 13:24:20.412359,51.24
2021-09-25 13:25:20.065393,50.69
2021-09-25 13:26:19.712631,52.22
2021-09-25 13:27:19.361914,53.15
2021-09-25 13:28:19.012193,51.99
2021-09-25 13:29:18.678361,52.65
2021-09-25 13:30:18.331538,52.42
2021-09-25 13:31:17.981431,52.32
2021-09-25 13:32:17.630755,53.29
2021-09-25 13:33:17.281069,52.05
2021-09-25 13:34:16.929843,52.19
2021-09-25 13:35:16.582804,52.47
2021-09-25 13:36:16.229314,52.32
2021-09-25 13:37:15.883394,53.23
2021-09-25 13:38:15.529425,53.28
2021-09-25 13:39:15.181502,53.08
2021-09-25 13:40:14.833464,52.84
2021-09-25 13:41:14.481899,52.77
2021-09-25 13:42:14.137060,52.58
2021-09-25 13:43:13.793689,52.47
2021-09-25 13:44:13.442427,52.41
2021-09-25 13:45:13.091295,52.49
2021-09-25 13:46:12.740886,52.39
